Date,BID,ASK,MID_RATE
2025-06-03,26.2508,27.597,26.9239
2025-06-04,26.2579,27.6045,26.9312
2025-06-05,26.2616,27.6084,26.935
2025-06-06,26.2666,27.6136,26.9401
2025-06-09,26.2787,27.6263,26.9525
2025-06-10,26.2843,27.6323,26.9583
2025-06-11,26.293,27.6414,26.9672
2025-06-12,26.3005,27.6493,26.9749
2025-06-13,26.3024,27.6512,26.9768
2025-06-16,26.3051,27.6541,26.9796
2025-06-17,26.307,27.656,26.9815
2025-06-18,26.3118,27.6612,26.9865
2025-06-19,26.3159,27.6655,26.9907
2025-06-20,26.317,27.6666,26.9918
2025-06-23,26.3216,27.6714,26.9965
2025-06-24,26.2804,27.6282,26.9543
2025-06-25,26.2744,27.6218,26.9481
2025-06-26,26.2769,27.6245,26.9507
2025-06-27,26.2654,27.6124,26.9389
2025-06-30,26.2721,27.6193,26.9457
2025-07-01,26.2764,27.624,26.9502
2025-07-02,26.2791,27.6267,26.9529
2025-07-03,26.2822,27.63,26.9561
2025-07-04,26.2187,27.5633,26.891
2025-07-07,26.2106,27.5548,26.8827
2025-07-08,26.2157,27.5601,26.8879
2025-07-09,26.2182,27.5628,26.8905
2025-07-10,26.1749,27.5173,26.8461
2025-07-11,26.1684,27.5104,26.8394
2025-07-14,26.1696,27.5116,26.8406
2025-07-15,26.1463,27.4871,26.8167
2025-07-16,26.1215,27.4611,26.7913
2025-07-17,26.1266,27.4664,26.7965
2025-07-18,26.1314,27.4714,26.8014
2025-07-21,26.1362,27.4766,26.8064
2025-07-22,26.1194,27.4588,26.7891
2025-07-23,26.1187,27.4581,26.7884
2025-07-24,26.1058,27.4446,26.7752
2025-07-25,26.111,27.45,26.7805
2025-07-28,26.1217,27.4613,26.7915
2025-07-29,26.1248,27.4646,26.7947
2025-07-30,26.1197,27.4591,26.7894
2025-07-31,26.1166,27.456,26.7863
2025-08-01,26.1208,27.4604,26.7906
2025-08-04,26.1255,27.4653,26.7954
2025-08-05,26.1031,27.4417,26.7724
2025-08-06,26.1098,27.4488,26.7793
2025-08-07,26.0948,27.433,26.7639
2025-08-08,26.0915,27.4295,26.7605
2025-08-13,26.097,27.4354,26.7662
2025-08-14,26.1039,27.4425,26.7732
2025-08-15,26.1112,27.4502,26.7807
2025-08-18,26.0991,27.4375,26.7683
2025-08-19,26.0917,27.4297,26.7607
2025-08-20,26.0891,27.4271,26.7581
2025-08-21,26.0944,27.4326,26.7635
2025-08-22,26.0818,27.4194,26.7506
2025-08-25,26.0933,27.4314,26.7624
2025-08-26,26.0995,27.4379,26.7687
2025-08-27,26.0765,27.4137,26.7451
2025-08-28,26.081,27.4185,26.7498
2025-08-29,26.0859,27.4237,26.7548
2025-09-01,26.0728,27.4098,26.7413
2025-09-02,26.0673,27.4041,26.7357
2025-09-03,26.094,27.4322,26.7631
2025-09-04,26.0233,27.3579,26.6906
2025-09-05,26.0461,27.3819,26.714
2025-09-08,26.0608,27.3972,26.729
2025-09-09,26.0425,27.3781,26.7103
2025-09-10,26.0364,27.3716,26.704
2025-09-11,26.0629,27.3995,26.7312
2025-09-12,26.0601,27.3965,26.7283
2025-09-15,26.0642,27.4008,26.7325
2025-09-16,26.0486,27.3844,26.7165
2025-09-17,26.0105,27.3443,26.6774
2025-09-18,25.8912,27.219,26.5551
2025-09-19,25.9056,27.234,26.5698
2025-09-22,25.9072,27.2358,26.5715
2025-09-23,25.9108,27.2396,26.5752
2025-09-24,25.9435,27.2739,26.6087
2025-09-25,25.9006,27.2288,26.5647
2025-09-26,25.9065,27.2351,26.5708
2025-09-29,25.9055,27.2339,26.5697
2025-09-30,25.9778,27.31,26.6439
2025-10-01,26.0227,27.3571,26.6899
2025-10-02,26.0067,27.3403,26.6735
2025-10-03,25.9895,27.3223,26.6559
2025-10-06,25.984,27.3166,26.6503
2025-10-07,25.9816,27.314,26.6478
2025-10-08,26.0355,27.3707,26.7031
2025-10-09,26.0418,27.3772,26.7095
2025-10-10,26.0424,27.378,26.7102
2025-10-13,26.0036,27.3372,26.6704
2025-10-14,25.9759,27.3079,26.6419
2025-10-15,25.9606,27.292,26.6263
2025-10-16,25.9579,27.2891,26.6235
2025-10-17,25.9726,27.3046,26.6386
2025-10-20,25.9456,27.2762,26.6109
2025-10-21,25.9138,27.2428,26.5783
2025-10-22,25.8589,27.1849,26.5219
2025-10-23,25.851,27.1766,26.5138
2025-10-24,25.8565,27.1825,26.5195
2025-10-27,25.8442,27.1696,26.5069
2025-10-28,25.846,27.1714,26.5087
2025-10-29,25.8076,27.131,26.4693
2025-10-30,25.786,27.1084,26.4472
2025-10-31,25.7268,27.0462,26.3865
2025-11-03,25.7208,27.0398,26.3803
2025-11-04,25.7276,27.047,26.3873
2025-11-05,25.7109,27.0295,26.3702
2025-11-07,25.7275,27.0469,26.3872
2025-11-10,25.7325,27.0521,26.3923
2025-11-11,25.7018,27.0198,26.3608
2025-11-12,25.7424,27.0626,26.4025
2025-11-13,25.6828,26.9998,26.3413
2025-11-14,25.6811,26.9981,26.3396
2025-11-17,25.6884,27.0058,26.3471
2025-11-18,25.6501,26.9655,26.3078
2025-11-19,25.6285,26.9427,26.2856
2025-11-20,25.7352,27.055,26.3951
2025-11-21,25.6638,26.9798,26.3218
2025-11-24,25.6391,26.9539,26.2965
2025-11-25,25.6302,26.9446,26.2874
2025-11-26,25.5405,26.8503,26.1954
2025-11-27,25.5276,26.8368,26.1822
2025-11-28,25.5353,26.8449,26.1901
2025-12-01,25.4963,26.8039,26.1501
2025-12-02,25.5167,26.8253,26.171
2025-12-03,25.5436,26.8536,26.1986
2025-12-04,25.5052,26.8132,26.1592
2025-12-05,25.4849,26.7919,26.1384
2025-12-08,25.4594,26.765,26.1122
2025-12-09,25.473,26.7794,26.1262
2025-12-10,25.4805,26.7871,26.1338
2025-12-11,25.4575,26.7631,26.1103
2025-12-12,25.4517,26.7569,26.1043
2025-12-15,25.4571,26.7625,26.1098
2025-12-16,25.449,26.754,26.1015
2025-12-17,25.4876,26.7946,26.1411
2025-12-18,25.4536,26.759,26.1063
2025-12-19,25.446,26.751,26.0985
2025-12-23,25.397,26.6994,26.0482
2025-12-24,25.3759,26.6773,26.0266
2025-12-29,25.3605,26.6611,26.0108
2026-01-02,25.2747,26.5709,25.9228
2026-01-05,25.183,26.4744,25.8287
2026-01-06,25.228,26.5218,25.8749
2026-01-07,25.0921,26.3789,25.7355
2026-01-08,25.0774,26.3634,25.7204
2026-01-09,25.0753,26.3613,25.7183
2026-01-12,25.0674,26.353,25.7102
2026-01-13,25.074,26.3598,25.7169
2026-01-14,25.03,26.3136,25.6718
2026-01-15,24.9801,26.2611,25.6206
2026-01-16,24.9656,26.2458,25.6057
2026-01-19,24.9725,26.2531,25.6128
2026-01-20,24.9837,26.2649,25.6243
2026-01-21,24.9581,26.2381,25.5981
2026-01-22,24.9504,26.23,25.5902
2026-01-23,24.9613,26.2413,25.6013
2026-01-26,24.9646,26.2448,25.6047
2026-01-27,24.9735,26.2541,25.6138
2026-01-28,24.9853,26.2665,25.6259
2026-01-29,24.9478,26.2272,25.5875
2026-01-30,24.9411,26.2201,25.5806
2026-02-02,24.9787,26.2597,25.6192
2026-02-03,25.004,26.2862,25.6451
2026-02-04,25.0285,26.3121,25.6703
2026-02-05,25.121,26.4092,25.7651
2026-02-06,24.9511,26.2307,25.5909
2026-02-09,24.9323,26.2109,25.5716
2026-02-10,24.9498,26.2292,25.5895
2026-02-11,24.9252,26.2034,25.5643
2026-02-12,24.9191,26.1971,25.5581
2026-02-13,24.9217,26.1997,25.5607
2026-02-16,24.9278,26.2062,25.567
2026-02-17,24.9502,26.2298,25.59
2026-02-18,24.9634,26.2436,25.6035
2026-02-19,24.9349,26.2137,25.5743
2026-02-20,24.8999,26.1769,25.5384
2026-02-23,24.9407,26.2197,25.5802
2026-02-24,25.0917,26.3785,25.7351
2026-02-25,25.0704,26.356,25.7132
2026-02-26,25.0105,26.2931,25.6518
2026-02-27,25.129,26.4176,25.7733
2026-03-02,25.1154,26.4034,25.7594
2026-03-03,25.1223,26.4107,25.7665
2026-03-04,25.1347,26.4237,25.7792
2026-03-05,25.1093,26.3969,25.7531
2026-03-06,25.0908,26.3776,25.7342
2026-03-09,24.9718,26.2524,25.6121
2026-03-10,24.9808,26.2618,25.6213
2026-03-11,24.867,26.1422,25.5046
2026-03-12,24.8452,26.1194,25.4823
2026-03-13,24.8139,26.0865,25.4502
2026-03-16,24.7985,26.0703,25.4344
2026-03-17,24.661,25.9256,25.2933
2026-03-18,24.6335,25.8967,25.2651
2026-03-19,24.6715,25.9367,25.3041
2026-03-20,24.6798,25.9454,25.3126
2026-03-23,24.6699,25.9351,25.3025
2026-03-24,24.6799,25.9455,25.3127
2026-03-25,24.6288,25.8918,25.2603
2026-03-26,24.733,26.0014,25.3672
2026-03-27,24.7401,26.0089,25.3745
2026-03-30,24.712,25.9792,25.3456
2026-03-31,24.6879,25.9539,25.3209
2026-04-01,24.7062,25.9732,25.3397
2026-04-02,24.7232,25.991,25.3571
2026-04-07,24.6954,25.9618,25.3286
2026-04-08,24.6065,25.8683,25.2374
2026-04-09,24.6091,25.8711,25.2401
2026-04-10,24.5341,25.7923,25.1632
2026-04-13,24.6004,25.862,25.2312
2026-04-14,24.6177,25.8801,25.2489
2026-04-15,24.6017,25.8633,25.2325
2026-04-16,24.5347,25.7929,25.1638
2026-04-17,24.5489,25.8079,25.1784
2026-04-20,24.5696,25.8296,25.1996
2026-04-21,24.6153,25.8777,25.2465
2026-04-22,24.6185,25.8809,25.2497
2026-04-23,24.6295,25.8925,25.261
2026-04-24,24.5878,25.8488,25.2183
2026-04-27,24.5639,25.8235,25.1937
2026-04-28,24.6567,25.9211,25.2889
2026-04-29,24.6652,25.93,25.2976
2026-04-30,24.7084,25.9754,25.3419
2026-05-04,24.7792,26.05,25.4146
2026-05-05,24.8602,26.135,25.4976
2026-05-06,24.8704,26.1458,25.5081
